Feature;LIDC;KITS;LITS;NSCLC;BRATS
wavelet-LL_gldm_GrayLevelNonUniformity;0.9949821241487375;0.9999778879731711;0.9998261159471209;0.9996239364947359;0.9994263224363595
original_gldm_GrayLevelNonUniformity;0.9950874807376922;0.999975384491174;0.9998343359522519;0.999605337660632;0.9994320456582944
wavelet-HL_gldm_GrayLevelNonUniformity;0.992957073242537;0.9999619842829882;0.999762977776083;0.9994802531368261;0.998866152524349
wavelet-LL_glrlm_GrayLevelNonUniformity;0.9925419375575513;0.9999751871455907;0.9998212857980449;0.9994730917940025;0.9977465046399057
wavelet-LH_gldm_GrayLevelNonUniformity;0.9913321011685522;0.9999635632228367;0.9997717717823946;0.9994531937022011;0.9987345306113682
original_glrlm_GrayLevelNonUniformity;0.9926448786452551;0.9999730688126007;0.9998257435451826;0.9994253699230128;0.99778478233329
wavelet-HL_glrlm_GrayLevelNonUniformity;0.988968520735555;0.9999585746243744;0.9997623216517879;0.9993799078200525;0.9981907907411963
wavelet-LH_glrlm_GrayLevelNonUniformity;0.9887098114815192;0.9999588593418147;0.9997750912117239;0.999356063730646;0.9979445854259803
wavelet-LL_firstorder_Energy;0.9931663777115023;0.999895845649762;0.9996797576598757;0.9992944038211506;0.99932765665819
wavelet-LL_firstorder_TotalEnergy;0.9938365459654583;0.9998938091588958;0.9996926468997316;0.999286083661217;0.9993274117243109
original_firstorder_Energy;0.990688104590517;0.9999204140880673;0.9997082279001231;0.9992245807194935;0.9988930765653661
original_firstorder_TotalEnergy;0.9917785699233115;0.9999211388792627;0.9997360737453161;0.9992225384470113;0.9988806963492104
wavelet-HH_gldm_GrayLevelNonUniformity;0.9867503808324949;0.9999521060560366;0.9997683900661416;0.9992050900500953;0.9987091409577332
wavelet-HH_glrlm_GrayLevelNonUniformity;0.9848634812235226;0.9999475805161275;0.9997562777157124;0.9991549702688007;0.9983092813616866
wavelet-HH_gldm_DependenceNonUniformity;0.9727354900541704;0.9999433105167725;0.9997418411873897;0.9990820010342082;0.9968245499895818
wavelet-LH_glszm_GrayLevelNonUniformity;0.9710884449437311;0.9999410390094714;0.9997334814598078;0.9990296290885428;0.9964614415971872
original_glszm_GrayLevelNonUniformity;0.9816317038723494;0.9999642376439338;0.9997667052488166;0.9990223412056571;0.9972514454739771
wavelet-LL_glszm_GrayLevelNonUniformity;0.9825824282960592;0.999964848804673;0.9997826923400931;0.9990136764961874;0.9972475970633617
original_shape2D_PixelSurface;0.975147662752994;0.9999467165059517;0.999763332174373;0.9988408242049502;0.9971915412380674
original_shape2D_MeshSurface;0.9751214708622248;0.9999469614956811;0.9997634559751322;0.9988383307856369;0.9971767866910907
wavelet-HH_firstorder_TotalEnergy;0.9796674327335997;0.9999474787792813;0.9997906482692598;0.998831928697125;0.9971688451040259
wavelet-HH_firstorder_Energy;0.9750100783988986;0.9999461746496285;0.9997623044128012;0.9988304857207754;0.9971634542830358
wavelet-HL_glszm_GrayLevelNonUniformity;0.96765953077282;0.9999425915024831;0.999718493333426;0.9988287843087471;0.9971837684526383
wavelet-HL_firstorder_Energy;0.9745612947693834;0.999944741330618;0.9997658699203193;0.998820058567771;0.9970171267919704
wavelet-HL_firstorder_TotalEnergy;0.9791124503677593;0.9999445980972477;0.999796878187881;0.9988198737427303;0.9970005726973784
wavelet-LH_firstorder_TotalEnergy;0.9790869073913133;0.9999445130061932;0.999791274548442;0.9988136672692414;0.9970842805856404
wavelet-LH_firstorder_Energy;0.9746107579820449;0.9999455044583598;0.9997665438633756;0.9988133538358106;0.9971022565416462
wavelet-LH_gldm_DependenceNonUniformity;0.9635292520482936;0.9999364401152482;0.9997139796510968;0.9985903706659147;0.9968792399811981
wavelet-HH_glszm_GrayLevelNonUniformity;0.9543800253191368;0.9999238047221605;0.9996902997360761;0.9985872383072334;0.9966128478870335
wavelet-HL_gldm_DependenceNonUniformity;0.9527273250212105;0.9999382226000353;0.9997286597077524;0.9985719554635393;0.9965926634714839
wavelet-HH_glrlm_RunLengthNonUniformity;0.9672398333694916;0.99994498406499;0.9997455735679213;0.998492925736574;0.9969948119315686
wavelet-LH_glrlm_RunLengthNonUniformity;0.9640434330810076;0.9999379861707641;0.9997426487117616;0.9983610732236596;0.997033243470345
wavelet-HL_glrlm_RunLengthNonUniformity;0.9577511534282452;0.9999410408378178;0.9997478381265921;0.9980154195021866;0.9968148975281966
original_gldm_DependenceNonUniformity;0.9467381102772838;0.9999229404446803;0.9997080071698534;0.9979392388124524;0.996221631515892
original_glrlm_RunLengthNonUniformity;0.95709346863625;0.9999289368983272;0.999739386063538;0.9978708234255886;0.9967607012262065
